"Replicate","Scenario","Behaviour","groupSize","Model","Trap.effort","Days.monitored","nDet","Dhat","Dhat.se","Dhat.lo","Dhat.hi","y","y.mean","y.sd","g.mean","g.sd","g.max","v","v.se","act","act.se","edr.model","edr","edr.se","edr.AIC","chat","gof_chisq","gof_df","gof_rel"
56,"med","sol",NA,"REM",25,50,405,2.11974164456982,0.391307100034438,NA,NA,98,3.92,3.42685472895093,1,0,1,10610.7614757462,422.988314324556,1,0,"hr0",4.0585724854325,0.269548188318293,417.400170434474,3.7632,32.5639736123574,7,0.332285445024055
56,"hi","sol",NA,"REM",25,50,3987,20.8116492895887,4.95036389649531,NA,NA,508,20.32,24.7229987393655,1.00383877159309,0.0618982175835991,2,4947.77472603553,88.3678283096634,1,0,"hr0",4.59540731123592,0.12095483022171,2124.37022629337,19.5072,80.3093212731793,7,0.158089215104684
56,"hi","grp",20,"REM",25,50,5066,33.5672248724201,5.58890223369196,NA,NA,595,23.8,18.9274932307477,1.16279069767442,0.475262995961998,4,4971.70027539386,78.148222730591,1,0,"hr0",3.32103386391003,0.145824461415319,2556.8796283133,22.848,69.7787123853503,7,0.117275146866135
56,"med","sol",NA,"REM",100,50,1854,2.44513919347406,0.255291352221355,NA,NA,422,4.22,4.20336565483932,1.00236406619385,0.0486216638326315,2,10816.446078841,199.342829121046,1,0,"hr0",3.71570304242859,0.118581212872274,1667.64440892397,4.1778,49.1409667207876,7,0.116447788437885
56,"med","grp",25,"REM",100,50,1948,2.36001931582144,0.423796465542303,NA,NA,428,4.28,7.46450185067884,1.12894736842105,0.400137110232406,3,10417.5582223511,218.270324246873,1,0,"hr0",4.05395570327697,0.120011692663077,1721.15480877213,4.2372,65.3022354401754,7,0.152575316449008
55,"hi","grp",100,"REM",100,50,21953,36.7218236258189,2.60413850602472,NA,NA,2445,24.45,15.6252676744749,1.70567867036011,1.48821041024381,13,4833.2839620934,46.3261287951138,1,0,"hr0",3.20796067335404,0.0969194337929611,10849.7722323103,24.2055,141.349015161942,7,0.0578114581439435
55,"hi","sol",NA,"REM",100,50,21128,26.5550937485253,2.16020069042858,NA,NA,2552,25.52,20.7493361217883,1.00419367136866,0.064634953381914,2,5006.40590159494,35.8588593486228,1,0,"hr0",4.47016441617365,0.0551002481687305,10783.5469944002,25.2648,489.883835127382,7,0.191960750441764
55,"hi","grp",20,"REM",100,50,21654,35.592944114012,3.47017746749017,NA,NA,2483,24.83,22.899011932281,1.1808066759388,0.497435630122095,5,4856.71070181398,45.2909215561359,1,0,"hr0",3.34493201992548,0.0713760169718066,10735.0161934738,24.5817,330.888032131767,7,0.133261390306793
56,"hi","grp",100,"REM",25,50,5768,42.5371181648599,6.44714766883891,NA,NA,705,28.2,19.7526369547629,1.73349633251834,1.44672644358222,13,5012.91497862007,83.0257221635319,1,0,"hr0",3.0796930262376,0.202230682964469,3164.18491778851,27.072,39.8773338509017,7,0.0565635941147541
56,"hi","sol",NA,"REM",100,50,15749,20.8517661497738,1.98668975970465,NA,NA,1926,19.26,18.2090109783063,1.00252270433905,0.050175796349191,2,5089.02232354385,42.3825881153879,1,0,"hr0",4.22664531487645,0.0659722395049218,8096.3605701442,19.0674,262.724614573923,7,0.136409457203491
56,"med","grp",5,"REM",100,50,1691,1.98204751772811,0.238026152989083,NA,NA,364,3.64,4.29827308522289,1.03661971830986,0.188091392483745,2,10442.9003702492,201.107594654553,1,0,"hr0",4.09527349596367,0.128715716893111,1464.70949673101,3.6036,51.0172928638325,7,0.140157397977562
56,"lo","sol",NA,"REM",25,50,38,0.189087012853258,0.079641093219168,NA,NA,12,0.48,0.822597511950204,1,0,1,17328.0219990721,2174.16711087024,1,0,"hr0",3.41151487689629,0.773893667077303,44.0213188955488,0.4608,11.5489771349676,7,0.962414761247299
56,"lo","sol",NA,"REM",100,50,123,0.171978767029504,0.0398171880997997,NA,NA,38,0.38,0.693111852736656,1,0,1,14936.8262636097,1352.68375561006,1,0,"hr0",3.4448249645434,0.39070727598462,149.808371412691,0.3762,2.84845256502271,7,0.0749592780269134
56,"med","grp",25,"REM",25,50,420,1.56653880696499,0.555584065868464,NA,NA,89,3.56,6.55794683316865,1.13924050632911,0.445322620452768,4,10608.680435241,419.662820509467,1,0,"hr0",4.98843360823547,0.261662440834321,345.139477076682,3.4176,3.11809348496009,7,0.0350347582579785
57,"med","sol",NA,"REM",100,50,1870,2.5677083813188,0.268006245172259,NA,NA,413,4.13,4.00417711189632,1.00240384615385,0.049029033784546,2,10278.8987327426,198.618218407365,1,0,"hr0",3.64396745312591,0.116667983366241,1630.22972582354,4.0887,55.8197659453555,7,0.135156818269626
57,"med","grp",5,"REM",25,50,333,3.28964446102684,1.06534466878388,NA,NA,75,3,4.13319892254575,1.04166666666667,0.201228620594782,2,9908.16667170297,502.012845086504,1,0,"hr0",2.14336291553649,0.363936594406466,315.285642725091,2.88,21.7185206389273,7,0.289580275185697
57,"lo","sol",NA,"REM",100,50,134,0.129079875346042,0.0285289183574524,NA,NA,35,0.35,0.672324476737388,1,0,1,14989.5737659773,1365.66576589367,1,0,"hr0",4.21247122348914,0.35138094581992,140.739128313068,0.3465,17.0943891460241,7,0.488411118457833
57,"med","sol",NA,"REM",25,50,431,1.85621616832434,0.415288574759692,NA,NA,98,3.92,4.45271452786575,1,0,1,11524.3843443946,452.893443576539,1,0,"hr0",4.26733272066939,0.218433783842952,357.020351620095,3.7632,6.74431930103004,7,0.0688195847043882
57,"med","grp",25,"REM",25,50,702,4.07205317825468,1.27534620700636,NA,NA,147,5.88,9.18930537817377,1.176,0.509015495042684,5,9860.08266397732,385.558293802335,1,0,"hr0",3.41035864237528,0.207788525341745,586.420322331415,5.6448,21.4855680544095,7,0.146160326900745
57,"lo","sol",NA,"REM",25,50,36,0.14520604290226,0.0533002640665502,NA,NA,12,0.48,0.77028133388609,1,0,1,17989.4207304798,2333.82571816999,1,0,"hr0",4.27913602224492,0.618023089840111,48.0984995733955,0.4608,2.93843718626273,7,0.244869765521894
57,"med","grp",25,"REM",100,50,1607,2.32077775412113,0.332135969533979,NA,NA,362,3.62,4.94980868929356,1.07669616519174,0.307720670351509,3,9880.43638317428,237.947562663598,1,0,"hr0",3.6763395400688,0.140778456885674,1470.67865637518,3.5838,42.1430861867991,7,0.116417365156904
56,"hi","grp",20,"REM",100,50,20381,29.3115940040908,2.75880183988306,NA,NA,2502,25.02,23.9945195762901,1.18059424326834,0.529110252014734,7,4874.23041745694,47.0003826127566,1,0,"hr0",4.07810625370925,0.0685346950529311,10845.2572138615,24.7698,317.19613709898,7,0.126777033213022
57,"med","grp",5,"REM",100,50,1863,2.36968633541836,0.324807381137096,NA,NA,393,3.93,4.97317044172269,1.04166666666667,0.21273632740002,3,10096.2741913793,234.477655754666,1,0,"hr0",3.82522753639214,0.124785312741538,1568.77936951142,3.8907,55.1025227066428,7,0.140209981441839
57,"hi","sol",NA,"REM",25,50,4555,28.9958112405723,7.46959977825313,NA,NA,534,21.36,28.325312590214,1.00362976406534,0.0601927279188098,2,4908.40748449843,84.7292324656775,1,0,"hr0",3.49495910683795,0.133927698221201,2261.0652422683,20.5056,76.7880973945488,7,0.143797935195784
57,"hi","grp",20,"REM",25,50,4074,32.1007384498445,7.46819871852485,NA,NA,480,19.2,22.4925913728647,1.23618090452261,0.614269845639234,5,4950.32266159254,97.2168340148208,1,0,"hr0",2.81364578405289,0.161443948387954,2059.37986833336,18.432,81.7874126505306,7,0.170390443021939
